Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
EASY,Valid Anagram,65.1,0.6666090586972462,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",30
MEDIUM,Valid Sudoku,49.0,0.6227675793740958,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",30
MEDIUM,Jump Game II,50.7,0.415032966531176,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",30
MEDIUM,Decode String,65.9,0.6115269783398165,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",29
MEDIUM,Coin Change,55.3,0.4649549755120981,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",29
HARD,Reverse Nodes in k-Group,42.9,0.630436472551844,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",28
MEDIUM,Best Time to Buy and Sell Stock II,55.9,0.6950029224907471,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",28
MEDIUM,Course Schedule,85.6,0.492343272648647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",28
EASY,Valid Palindrome,48.3,0.5096352873238165,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",27
MEDIUM,Combination Sum,17.4,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking",27
MEDIUM,Min Stack,32.0,0.5644513974486727,https://leetcode.com/problems/min-stack,"Stack, Design",26
MEDIUM,Edit Distance,48.3,0.5878980645167777,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",26
EASY,Move Zeroes,55.9,0.6280404117101285,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",26
MEDIUM,"Pow(x, n)",38.7,0.3702320169895338,https://leetcode.com/problems/powx-n,"Math, Recursion",26
MEDIUM,Word Break,97.8,0.4827380427522254,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",25
MEDIUM,Subarray Sum Equals K,87.5,0.4547633179081555,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",25
MEDIUM,Rotting Oranges,53.9,0.5661842002497466,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",25
HARD,Largest Rectangle in Histogram,42.9,0.4737769446459488,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",25
MEDIUM,Permutations,52.3,0.8066012553007272,https://leetcode.com/problems/permutations,"Array, Backtracking",24
EASY,Remove Duplicates from Sorted Array,60.7,0.6035555860093221,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",24
HARD,Find Median from Data Stream,55.9,0.5327803532552068,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",23
MEDIUM,Koko Eating Bananas,55.3,0.4906721877084858,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",23
MEDIUM,Course Schedule II,79.0,0.5342347717848052,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",23
MEDIUM,Zigzag Conversion,40.3,0.5160678115303926,https://leetcode.com/problems/zigzag-conversion,String,22
HARD,Binary Tree Maximum Path Sum,67.8,0.4122432508651943,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",22
MEDIUM,Reverse Integer,75.0,0.3030894236484883,https://leetcode.com/problems/reverse-integer,Math,22
HARD,Regular Expression Matching,70.4,0.2928011632862837,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion",22
MEDIUM,Simplify Path,24.4,0.4785434600375143,https://leetcode.com/problems/simplify-path,"String, Stack",22
MEDIUM,Rotate Array,84.0,0.4302138810363553,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",22
MEDIUM,Decode Ways,33.9,0.3653098286175434,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",21
MEDIUM,Validate Binary Search Tree,29.7,0.3438040355108531,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",21
MEDIUM,Time Based Key-Value Store,36.3,0.4936626151018991,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design",21
MEDIUM,Set Matrix Zeroes,59.7,0.6070884864800216,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix",20
MEDIUM,Basic Calculator II,38.7,0.4581138691872612,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",20
MEDIUM,Asteroid Collision,53.4,0.4550098688694731,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation",20
MEDIUM,Subsets,45.2,0.8087956878508169,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",20
MEDIUM,Search a 2D Matrix,38.7,0.5228964498029818,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",20
MEDIUM,Maximal Square,70.4,0.4876133314788993,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix",20
MEDIUM,Unique Paths,48.3,0.6577289258301743,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics",20
MEDIUM,Daily Temperatures,38.7,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack",20
MEDIUM,4Sum,40.3,0.3821900891354193,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",20
HARD,Longest Valid Parentheses,33.9,0.3631311456770452,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack",19
EASY,Find the Index of the First Occurrence in a String,48.3,0.449715887092611,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",19
EASY,Majority Element,68.9,0.657403169331404,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",19
MEDIUM,String Compression,68.4,0.580915717497265,https://leetcode.com/problems/string-compression,"Two Pointers, String",19
MEDIUM,Longest Increasing Subsequence,55.3,0.5780836795005291,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",19
HARD,Wildcard Matching,40.3,0.2989832621421184,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion",19
MEDIUM,Find Peak Element,68.9,0.465092325586426,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",18
MEDIUM,Reverse Words in a String,68.9,0.5191330387431672,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String",18
MEDIUM,Unique Paths II,29.7,0.4315438505851779,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix",18
HARD,Word Ladder,77.0,0.4281206428184247,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search",18
HARD,Sudoku Solver,37.3,0.6390866531877745,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix",18
MEDIUM,Copy List with Random Pointer,95.8,0.6053672896963543,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List",17
MEDIUM,Binary Tree Zigzag Level Order Traversal,42.9,0.6168283891746636,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",17
HARD,Maximum Profit in Job Scheduling,94.5,0.5441735043380527,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting",17
EASY,Happy Number,99.0,0.580726470983853,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",17
MEDIUM,Largest Number,75.0,0.412803811932624,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting",17
EASY,Sqrt(x),38.7,0.4037183318664056,https://leetcode.com/problems/sqrtx,"Math, Binary Search",17
MEDIUM,Implement Trie (Prefix Tree),57.2,0.679349409041436,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie",17
MEDIUM,String to Integer (atoi),42.9,0.1922941979541227,https://leetcode.com/problems/string-to-integer-atoi,String,16
HARD,Word Search II,72.4,0.3732633211647155,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix",16
HARD,N-Queens,24.4,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking",16
MEDIUM,Gas Station,68.6,0.4638358382410811,https://leetcode.com/problems/gas-station,"Array, Greedy",16
MEDIUM,Reverse Linked List II,42.9,0.495917143135072,https://leetcode.com/problems/reverse-linked-list-ii,Linked List,16
MEDIUM,Random Pick with Weight,61.5,0.4827844806841818,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized",15
EASY,Pascal's Triangle,55.3,0.7702155451607752,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming",15
MEDIUM,Minimum Path Sum,44.3,0.664814934885504,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix",15
MEDIUM,Maximum Product Subarray,57.8,0.3494174827564301,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming",15
EASY,Maximum Depth of Binary Tree,38.7,0.7713809909365511,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",15
