Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
HARD,Largest Rectangle in Histogram,40.6,0.4737765317407914,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",4
HARD,Binary Tree Maximum Path Sum,86.7,0.412242800105891,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",4
EASY,Roman to Integer,58.2,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",4
MEDIUM,Find Peak Element,49.6,0.4650924637222962,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",4
EASY,Move Zeroes,58.2,0.6280400947352507,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",4
MEDIUM,Insert Delete GetRandom O(1),64.0,0.549918579117808,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized",4
MEDIUM,Generate Parentheses,64.0,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",4
MEDIUM,Rotting Oranges,64.0,0.566185183855214,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",4
HARD,Design In-Memory File System,40.6,0.4816948941663167,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting",3
HARD,Maximal Rectangle,39.0,0.5370845822665518,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",3
MEDIUM,Binary Tree Level Order Traversal,40.6,0.7059658947038693,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",3
MEDIUM,Search Suggestions System,79.9,0.6505026464247127,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",3
HARD,Text Justification,39.0,0.4814988999917213,https://leetcode.com/problems/text-justification,"Array, String, Simulation",3
MEDIUM,Find First and Last Position of Element in Sorted Array,79.2,0.4682873183580639,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",3
HARD,N-Queens,45.0,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking",3
MEDIUM,"Pow(x, n)",39.0,0.3702318823521848,https://leetcode.com/problems/powx-n,"Math, Recursion",3
MEDIUM,Jump Game II,72.7,0.4150320105538864,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",3
MEDIUM,Letter Combinations of a Phone Number,39.0,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",3
MEDIUM,Max Area of Island,61.5,0.7316416136206765,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",3
MEDIUM,Search a 2D Matrix,64.0,0.5228955161093151,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",3
MEDIUM,Find Minimum in Rotated Sorted Array,39.0,0.5264825291581084,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search",3
EASY,Add Two Integers,45.0,0.8812227852771523,https://leetcode.com/problems/add-two-integers,Math,3
MEDIUM,K Closest Points to Origin,40.6,0.6793957161103558,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",3
MEDIUM,Maximize Distance to Closest Person,50.9,0.489872250307419,https://leetcode.com/problems/maximize-distance-to-closest-person,Array,3
MEDIUM,Evaluate Division,40.6,0.6314695091079937,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",3
MEDIUM,Min Stack,64.0,0.5644510197289069,https://leetcode.com/problems/min-stack,"Stack, Design",3
HARD,Best Time to Buy and Sell Stock III,65.9,0.5112087693447603,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming",3
MEDIUM,Longest Increasing Subsequence,45.0,0.5780834572811812,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",3
HARD,Shortest Distance from All Buildings,100.0,0.443752767487823,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix",3
EASY,Add Strings,51.9,0.5190382397212994,https://leetcode.com/problems/add-strings,"Math, String, Simulation",3
MEDIUM,Capacity To Ship Packages Within D Days,58.2,0.7211749034268226,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search",3
MEDIUM,Minimum Operations to Reduce an Integer to 0,50.3,0.5730954555475073,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation",3
MEDIUM,Word Break,49.6,0.4827377619034214,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",3
MEDIUM,Time Based Key-Value Store,100.0,0.4936651729852069,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design",3
EASY,Valid Anagram,86.9,0.6666089667345674,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",3
HARD,Maximum Difference Between Even and Odd Frequency II,61.5,0.4928720842342105,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii,"String, Sliding Window, Enumeration, Prefix Sum",3
EASY,Fibonacci Number,61.5,0.7294495015845286,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization",3
MEDIUM,Spiral Matrix,40.6,0.5393973501075863,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",3
MEDIUM,4Sum,61.5,0.3821902011379304,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",3
EASY,Diameter of Binary Tree,49.6,0.6358636823587297,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree",3
EASY,Climbing Stairs,30.8,0.5354070673548961,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",3
HARD,Basic Calculator,58.2,0.4558962794405194,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion",3
EASY,Palindrome Number,58.2,0.5922455030165414,https://leetcode.com/problems/palindrome-number,Math,3
HARD,Making A Large Island,70.3,0.5489046988177128,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",3
EASY,Search Insert Position,30.8,0.4901241638473952,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",3
HARD,Reverse Nodes in k-Group,30.8,0.6304374335039493,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",3
MEDIUM,Transform Array to All Equal Elements,100.0,0.315568937398068,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy",3
EASY,Majority Element,50.9,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",3
MEDIUM,Top K Frequent Words,58.2,0.5927717574111464,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",3
MEDIUM,Number of Provinces,50.9,0.6865500056031655,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph",3
MEDIUM,Reverse Integer,50.9,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,3
EASY,Single Number,50.9,0.7596882403268375,https://leetcode.com/problems/single-number,"Array, Bit Manipulation",3
MEDIUM,String Compression,50.9,0.5809148778010127,https://leetcode.com/problems/string-compression,"Two Pointers, String",3
EASY,Pascal's Triangle,50.9,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming",3
MEDIUM,Simplify Path,89.6,0.4785434600375143,https://leetcode.com/problems/simplify-path,"String, Stack",3
EASY,Next Greater Element I,50.9,0.7451247376157817,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack",3
MEDIUM,Frequency of the Most Frequent Element,32.0,0.4410284958914792,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum",3
HARD,LFU Cache,64.0,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",3
