Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,House Robber,66.4,0.5230496880795729,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",7
MEDIUM,Jump Game,50.8,0.3947920375919359,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",7
MEDIUM,Task Scheduler,57.2,0.6153909539748507,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",7
MEDIUM,Longest Repeating Character Replacement,80.8,0.5721163769892559,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window",7
MEDIUM,Lowest Common Ancestor of a Binary Tree,65.3,0.6675499347216417,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",7
MEDIUM,Set Matrix Zeroes,54.5,0.6070880933688526,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix",7
MEDIUM,Design Hit Counter,90.4,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream",7
MEDIUM,Word Break,50.8,0.4827376415593891,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",7
EASY,Valid Anagram,48.4,0.6666089667345674,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",7
MEDIUM,Letter Combinations of a Phone Number,34.1,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",7
HARD,Largest Rectangle in Histogram,42.4,0.4737765317407914,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",7
EASY,Remove Duplicates from Sorted Array,38.6,0.6035551112882038,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",7
MEDIUM,Reverse Integer,55.0,0.3030891688448359,https://leetcode.com/problems/reverse-integer,Math,7
EASY,Majority Element,53.0,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",7
EASY,Merge Two Sorted Lists,58.5,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",7
MEDIUM,Coin Change,58.5,0.4649544340785128,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",7
EASY,Climbing Stairs,62.8,0.5354071346208594,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",7
MEDIUM,Word Search,61.5,0.4526691452685235,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",7
EASY,Palindrome Number,60.0,0.5922455404045137,https://leetcode.com/problems/palindrome-number,Math,7
EASY,Roman to Integer,45.6,0.6486626948713667,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",6
EASY,Move Zeroes,48.4,0.6280400947352507,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",6
EASY,Create Hello World Function,48.4,0.8212977812647828,https://leetcode.com/problems/create-hello-world-function,,6
HARD,Making A Large Island,100.0,0.5489029735459547,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",6
MEDIUM,Asteroid Collision,50.8,0.455006286318165,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation",6
HARD,Split Array Largest Sum,47.6,0.580995560819648,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum",6
HARD,Text Justification,100.0,0.4814993566410409,https://leetcode.com/problems/text-justification,"Array, String, Simulation",6
MEDIUM,Find Peak Element,59.9,0.4650922426070062,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",6
HARD,Find Median from Data Stream,60.0,0.5327816407313548,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream",6
EASY,Sqrt(x),34.1,0.4037179972261584,https://leetcode.com/problems/sqrtx,"Math, Binary Search",6
MEDIUM,Flatten Nested List Iterator,47.9,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator",6
EASY,Happy Number,47.9,0.5807264910173595,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",6
MEDIUM,Sort Colors,42.4,0.6758312948649591,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",6
MEDIUM,String Compression,47.9,0.5809154375988881,https://leetcode.com/problems/string-compression,"Two Pointers, String",6
HARD,Word Search II,55.0,0.3732630271206575,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix",6
MEDIUM,Random Pick with Weight,28.4,0.4827836751158982,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized",6
MEDIUM,String to Integer (atoi),47.6,0.1922942349527772,https://leetcode.com/problems/string-to-integer-atoi,String,5
MEDIUM,Rotting Oranges,100.0,0.5661841837717154,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",5
EASY,Diameter of Binary Tree,28.4,0.6358636823587297,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree",5
MEDIUM,Subsets,34.1,0.808795565390318,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",5
MEDIUM,Permutations,47.9,0.8066011364163758,https://leetcode.com/problems/permutations,"Array, Backtracking",5
MEDIUM,Zigzag Conversion,48.9,0.5160676713980508,https://leetcode.com/problems/zigzag-conversion,String,5
MEDIUM,Reverse Words in a String,47.9,0.5191327244735617,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String",5
MEDIUM,Find K Closest Elements,63.9,0.486686656754684,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",5
MEDIUM,4Sum,42.4,0.3821902011379304,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",5
