Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
MEDIUM,Find Minimum in Rotated Sorted Array,39.0,0.5264825291581084,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search",2
MEDIUM,Decode String,40.6,0.6115249906697672,https://leetcode.com/problems/decode-string,"String, Stack, Recursion",2
EASY,Palindrome Number,58.2,0.5922455030165414,https://leetcode.com/problems/palindrome-number,Math,2
EASY,Contains Duplicate,50.9,0.6323637545143186,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",2
MEDIUM,Top K Frequent Elements,76.2,0.645659827588029,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",2
MEDIUM,Top K Frequent Words,58.2,0.5927717574111464,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting",2
MEDIUM,String to Integer (atoi),58.2,0.1922942349527772,https://leetcode.com/problems/string-to-integer-atoi,String,2
HARD,Minimum Window Substring,68.7,0.4535073359144813,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",2
MEDIUM,Meeting Rooms II,68.7,0.521416981510797,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",2
MEDIUM,Lowest Common Ancestor of a Binary Tree,72.7,0.6675499347216417,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",2
MEDIUM,Jump Game II,72.7,0.4150320105538864,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",2
HARD,LFU Cache,64.0,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",2
MEDIUM,Koko Eating Bananas,79.2,0.4906727853934328,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",2
MEDIUM,Min Stack,64.0,0.5644510197289069,https://leetcode.com/problems/min-stack,"Stack, Design",2
HARD,Reverse Nodes in k-Group,30.8,0.6304374335039493,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",2
HARD,Basic Calculator,58.2,0.4558962794405194,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion",2
EASY,Add Strings,50.3,0.5190382397212994,https://leetcode.com/problems/add-strings,"Math, String, Simulation",1
MEDIUM,Combination Sum II,50.3,0.5767453180420465,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking",1
EASY,Create Hello World Function,39.0,0.8212977812647828,https://leetcode.com/problems/create-hello-world-function,,1
MEDIUM,Longest Increasing Subsequence,45.0,0.5780834572811812,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",1
EASY,Find Words Containing Character,39.0,0.9064056797672524,https://leetcode.com/problems/find-words-containing-character,"Array, String",1
HARD,N-Queens,45.0,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking",1
EASY,Reverse Linked List,39.0,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",1
EASY,Fibonacci Number,39.0,0.7294495015845286,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization",1
MEDIUM,Sort Colors,39.0,0.6758312948649591,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",1
EASY,Merge Sorted Array,39.0,0.5291951450619177,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",1
MEDIUM,Zero Array Transformation III,50.3,0.5538003960577724,https://leetcode.com/problems/zero-array-transformation-iii,"Array, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",1
EASY,Maximum Difference Between Even and Odd Frequency I,50.3,0.613683469927171,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-i,"Hash Table, String, Counting",1
MEDIUM,Peak Index in a Mountain Array,39.0,0.675694802801327,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search",1
EASY,Merge Two Sorted Lists,39.0,0.6684091757223755,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",1
MEDIUM,Letter Combinations of a Phone Number,39.0,0.6385756647080152,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",1
EASY,Add Two Integers,45.0,0.8812227852771523,https://leetcode.com/problems/add-two-integers,Math,1
MEDIUM,Longest Substring with At Most K Distinct Characters,50.3,0.4949613694103202,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window",1
MEDIUM,Apply Substitutions,39.0,0.7867262423714037,https://leetcode.com/problems/apply-substitutions,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",1
HARD,Binary Tree Maximum Path Sum,39.0,0.4122427095336609,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",1
MEDIUM,"Pow(x, n)",39.0,0.3702318823521848,https://leetcode.com/problems/powx-n,"Math, Recursion",1
HARD,Maximum Difference Between Even and Odd Frequency II,50.3,0.4928720842342105,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii,"String, Sliding Window, Enumeration, Prefix Sum",1
EASY,Merge Strings Alternately,45.0,0.8222964639886224,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String",1
HARD,Text Justification,39.0,0.4814988999917213,https://leetcode.com/problems/text-justification,"Array, String, Simulation",1
HARD,Painting a Grid With Three Different Colors,30.8,0.7850353068984248,https://leetcode.com/problems/painting-a-grid-with-three-different-colors,Dynamic Programming,1
